.png,49,80,81,30,64,0,61,51,17,89,41,10,13,40,18,68,31,32,12,19,24,4,38,1,1,1,1,1,1,1,1
地区,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
color,0xEE1C25,0xFF9A32,0xde8d92,0xdabac1,0x9f6575,0xF9CF02,0x845779,0xde8a91,0xDCD5DD,0x905d7b,0xAE5BAB,0xF1C300,0xF2F2F2,0x8b8673,0x8c6d7c,0x834327,0x0588E6,0xc94232,0x5A6CC4,0xe45857,0xFF9742,0x2e1a7d,0x293072,0x834327,0x0588E6,0xc94232,0x5A6CC4,0xe45857,0xFF9742,0x2e1a7d,0x293072
2000年,4919,2328,1448,1118,1136,2076,1408,1739,3565,1643,1947,1173,2084,949,1427,1260,1368,1079,3228,1450,1980,1351,1340,1269,1739,1075,1253,1302,1238,1352,1424
2000年,4919,2328,1448,1118,1136,2076,1408,1739,3565,1643,1947,1173,2084,949,1427,1260,1368,1079,3228,1450,1980,1351,1340,1269,1739,1075,1253,1302,1238,1352,1424
2001年,5062,2375,1463,1349,1235,2126,1552,1784,3866,1801,2050,1163,2015,972,1457,1236,1363,1248,3305,1836,1910,1443,1368,1164,1940,1674,1570,1259,1208,1596,1533
2002年,4764,2487,1503,1435,1256,2139,1665,1803,4134,1925,2387,1290,2152,1062,1605,1380,1456,1326,3241,1926,1789,1556,1381,1238,1913,1569,1554,1326,1292,1865,1735
2003年,4737,2518,1463,1611,1270,2291,1574,1799,5118,2197,2737,1513,2297,1210,1698,1388,1506,1413,3195,1883,2105,1596,1421,1313,1882,1753,1534,1275,1465,1868,1817
2004年,5052.93,3114.61,1605.42,1803.23,1400.63,2412.03,1880.01,1938.99,5855,2651.41,3108.19,1782.14,2559.68,1325,2045.29,1572.9,1671.67,1510.54,3482,2082.58,2404.89,1766.24,1572.22,1385.02,1977.51,2747.58,1731.03,1753.7,1582.88,1880.4,1585.19
2005年,6788.09,4054.73,1862.03,2209.91,1653.22,2797.58,1888.19,2099.12,6842,3358.76,4279.97,2220.2,3161.67,1528.68,2425.22,1866.95,2263.26,1624.81,4442.76,2013.64,2924.47,2134.99,1945.48,1606.59,2165.02,1700.11,2059.61,1936.22,1832.2,2235.38,1797.74
2006年,8279.51,4773.54,2111.42,1988.18,1811.37,3073.44,2009.59,2195.55,7196,3592.19,4774.44,2321.89,3993.96,1707.99,2540.5,2011.84,2555.66,1928.44,4852.74,2195.41,3787.46,2269.21,2270.94,1779.82,2380.17,1976.46,2461.32,1779.76,1920.56,2063.07,1858.09
2007年,11553.26,5811.11,2585.77,2249.61,2246.53,3490.15,2302.47,2471.32,8361,4024.36,5786.03,2664.37,4684.34,2071.89,2904.14,2253.43,3053.12,2233.15,5914.3,2538.64,4161.6,2722.58,2840.45,2136.74,2454.98,2704.12,2622,2190.54,2311,2136.2,2081.13
2008年,12418,6015,2779,2355,2483,3758,2507,2832,8195,4049,6262,2949,4384,2136,2970,2339,3001,2302,5953,2826,5443,2785,3157,2339,2680,3202,2952,1958,2460,2435,2240
2009年,13799,6886,3263,2707,2972,4034,2917,3241,12840,4983,7826,3420,5427,2643,3505,2666,3532,2680,6513,3260,6261,3442,3509,2874,2931,2452,3223,2483,2517,3090,2604
2010年,17782,8230,3539,3487,3521,4505,3647,3719,14464,5841,9258,4205,6256,3144,3944,3042,3743,3146,7486,3562,8735,4281,4138,3357,3158,2896,3759,3042,3005,3304,3087
2011年,16851.95,8744.77,3982.85,3432.71,3782.93,4732.65,4363.89,3966.4,14603.24,6554.41,9838.06,4776.1,7764.29,4147.7,4447.73,3500.8,4486.39,3790.26,7879.17,3772.47,8943.45,4733.84,4917.88,3888.78,3635.38,3474.51,4949.2,3318.24,3248.08,3732.19,3548.79
2012年,17021.63,8217.67,4478.02,3871.38,4053.05,4942.01,4146.7,4067.17,14061.37,6726.78,10642.58,4824.95,8646.05,4744.66,4763.01,3831.23,5042.79,4048.62,8112.19,4203.42,7893.8,5079.93,5448.82,4115.67,4209.19,3268.62,5155.88,3570.15,4048.54,3947.88,3918.4
2013年,18553,8746,4897,4433,4301,5122,4483,4738,16420,6909,11042,5080,9050,5203,5049,4205,5266,4243,9090,4593,8669,5569,5498,4295,4494,4174,5280,3886,4163,4232,4268
2014年,18833,9219,5131,4734,4333,5373,5112,4882,16787,7006,10526,5394,9136,5288,5315,4366,5513,4227,9083,4854,9315,5519,5597,4312,4998,5774,5166,4544,5081,4117,4628
2015年,22633,10107,5759,4870,4441,5758,5476,5144,20949,7356,10525,5457,8881,5358,5560,4611,5863,4304,9796,4960,9339,5486,5475,4415,5300,4111,5362,4913,5242,4413,4653
2016年,27497,12830,6438,4984,4546,6080,5364,5295,24747,8805,11121,5924,9218,5709,5855,4964,6724,4640,11097,5237,9878,5485,5762,4307,5269,5112,5471,5201,5400,4241,4632
2017年,32140,15331,7203,5619,4628,6681,6021,6471,23804,9195,12855,6375,9746,6150,6319,5355,7675,5228,11776,5834,11837,6792,6217,4771,5919,6626,6840,5709,6001,4544,4965
2017年,32140,15331,7203,5619,4628,6681,6021,6471,23804,9195,12855,6375,9746,6150,6319,5355,7675,5228,11776,5834,11837,6792,6217,4771,5919,6626,6840,5709,6001,4544,4965
2017年,32140,15331,7203,5619,4628,6681,6021,6471,23804,9195,12855,6375,9746,6150,6319,5355,7675,5228,11776,5834,11837,6792,6217,4771,5919,6626,6840,5709,6001,4544,4965
