.png,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,52
cname,阿伦・艾弗森,阿马雷・斯塔德迈尔,安德烈・伊戈达拉,保罗・皮尔斯,保罗・乔治,本・西蒙斯,布雷克・格里芬,昌西・比卢普斯,德怀恩・韦德,德怀特・霍华德,德克・诺维茨基,德里克・罗斯,德隆・威廉姆斯,德马库斯・考辛斯,德玛尔・德罗赞,蒂姆・邓肯,多诺万・米切尔,戈登・海沃德,戈兰・德拉季奇,格兰特・希尔,贾森・基德,贾森・特里,杰森・塔图姆,卡尔-安东尼・唐斯,卡梅隆・安东尼,凯里・欧文,凯文・杜兰特,凯文・加内特,凯文・乐福,科比・布莱恩特,科怀・伦纳德,克莱・汤普森,克里斯・保罗,克里斯・波什,拉简・朗多,拉马库斯・阿尔德里奇,拉塞尔・威斯布鲁克,勒布朗・詹姆斯,雷・阿伦,林书豪,马努・吉诺比利,乔尔・恩比德,赛尔吉・伊巴卡,沙奎尔・奥尼尔,史蒂夫・纳什,斯蒂芬・库里,特雷西・麦克格雷迪,托尼・帕克,姚明,约什・史密斯,扎克・兰多夫,詹姆斯・哈登,周琦
color,0xFF7B2E,0xE6302D,0x5D9CC8,0xEDB336,0xFB3434,0x20A27E,0xE3007E,0xE3007E,0xF40009,0xFF0077,0x00FF70,0xB91820,0xF8285C,0xF8D324,0x1BCB95,0xF48A34,0x0081D7,0xC6E16C,0xDB4630,0xF84CBA,0xE53836,0xFF5959,0xFCD209,0xF08300,0xA4C639,0xF63E3F,0x327ED3,0x803EDE,0x285C9B,0x2672EC,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E,0x4297CF,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E
2011年1月,5226,0,0,0,0,0,14544,0,2525,0,0,2726,0,0,0,0,0,0,0,0,0,0,0,0,3286,0,0,0,2453,12263,0,0,0,0,0,0,0,4539,0,0,0,0,0,0,0,0,16043,0,5482,0,0,0,0
2011年2月,3972,0,0,0,0,0,29630,0,0,0,0,3198,3776,0,0,0,0,0,0,0,0,0,0,0,8902,0,0,0,0,22212,0,0,0,0,0,0,0,5402,8177,0,0,0,0,0,0,0,9839,0,4303,0,0,0,0
2011年3月,4718,0,0,0,0,0,4396,0,2954,0,0,5041,0,0,0,0,0,0,0,0,0,0,0,0,3404,0,0,0,0,14631,0,0,0,0,0,0,0,4851,0,0,0,0,0,0,3059,0,7304,0,4033,0,0,0,0
2011年4月,5556,0,0,0,0,0,0,0,0,0,0,6348,0,0,0,7026,0,0,0,0,0,0,0,0,4186,0,0,0,0,15972,0,0,4287,0,0,0,0,4326,0,0,0,0,0,0,0,0,5495,0,5076,0,8254,0,0
2011年5月,5627,0,0,0,0,0,0,0,9990,0,5608,12215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6683,0,0,32316,0,0,0,0,10215,0,0,14745,0,0,0,0,0,0,0,0,10125,0,0,0,7388,0,0
2011年6月,18644,0,0,0,0,0,0,0,18032,0,18164,,0,0,0,0,0,0,0,0,19699,10259,0,0,0,0,0,0,0,16230,0,0,0,0,0,0,0,29321,0,0,0,0,0,52291,0,0,5732,0,7516,0,0,0,0
2011年7月,4265,0,0,0,0,0,0,0,3666,2798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3041,0,2392,0,0,21120,0,0,0,0,0,0,0,3506,0,0,0,0,0,0,2151,0,6313,0,129403,0,0,0,0
